Document Title,Year,Abstract,IEEE Terms,Author Keywords,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Volume,Issue,Start Page,End Page,ISSN,ISBNs,DOI,Funding Information,PDF Link,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,,,,,,,,,,
Spatio-temporal reasoning and decision support for smart energy systems,2016,"In this paper, we present an event handling framework for managing smart-grids and renewable energy installations: SmartSpace. Our framework aims at supporting decisions of human stakeholders, by providing adequate information to them. Different datasources feed into our framework and a variety of analysis and decision steps are supported. We are discussing potential data sources for decisions around smart energy systems and are focusing on spatio-temporal models of the involved data and operations to reason about them. Our models help to provide a semantic context for the data. Furthermore, we discuss the formalization of customized rules. Rules allow the specification of conditions under which information is provided to stakeholders. We exemplify our ideas and present our demonstrator which includes visualization capabilities.",Cognition;Collaboration;Context;Data visualization;Semantics;Smart grids;Stakeholders,collaboration solutions;decision support;distributed engineering;smart-grids;visualization,J. O. Blech; L. Fernando; K. Foster; G. Abhilash; S. Sudarsan,"RMIT University, Melbourne, Australia",2016 IEEE 21st International Conference on Emerging Technologies and Factory Automation (ETFA),20161107,,,1,8,,,10.1109/ETFA.2016.7733641,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7733641,energy management systems;renewable energy sources;smart power grids;spatiotemporal phenomena,SmartSpace;event handling framework;renewable energy installations;smart energy systems;smart grid management;spatiotemporal models,,,,,,,,6-9 Sept. 2016,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Multi-modal travel in India: A big data approach for policy analytics,2017,"Multi-modal travel is becoming prominent amongst Indian Passengers due to the advance of low-cost air travel, increasing disposable income, and connectivity by rail, bus, and air across various cities. This is a huge opportunity for all stakeholders within transport sector like Rail, Aviation, and Surface transport to operate seamlessly to boost domestic transportation and ultimately offer passengers the best of breed travel solution. In this paper, we will propose a framework for policy analytics for Rail and Air connectivity and discuss how big data can play a key role to analyze the existing datasets like routes, schedules, booking information, benchmark studies, economic characteristics, and passenger demographics. Big data tools are very useful in processing unstructured data sets by analyzing them and providing meaningful visualizations. Policy analytics can combine the power of information technology, operations research, statistical modeling and machine learning to modernize and equip policy makers for better data-driven decisions while drafting policies. This would ultimately enable Government's vision on smart cities, seamless transport hubs, and interchanges that provide seamless connectivity and high passenger satisfaction.",Big Data;Data visualization;Engines;Rail transportation;Rails;Schedules;Urban areas,big data;government;policy analytics;travel,H. B. Sankaranarayanan; R. S. Thind,"Amadeus Software Labs, Bangalore, India","2017 7th International Conference on Cloud Computing, Data Science & Engineering - Confluence",20170608,,,243,248,,CD:978-1-5090-3518-2; Electronic:978-1-5090-3519-9; POD:978-1-5090-3520-5,10.1109/CONFLUENCE.2017.7943157,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7943157,Big Data;air traffic;government data processing;rail traffic,Big Data approach;Indian passengers;air connectivity;benchmark studies;booking information;economic characteristics;multimodal travel;passenger demographics;policy analytics;rail connectivity;route schedules;transport sector;unstructured data sets processing,,,,,,,,12-13 Jan. 2017,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Visual Bayesian fusion to navigate a data lake,2016,"The evolution from traditional business intelligence to big data analytics has witnessed the emergence of `Data Lakes' in which data is ingested in raw form rather than into traditional data warehouses. With the increasing availability of many more pieces of information about each entity of interest, e.g., a customer, often from diverse sources (social-media, mobility, internet-of-things), fusing, visualizing and deriving insights from such data pose a number of challenges: First, disparate datasets often lack a natural join key. Next, datasets may describe measures at different levels of granularity, e.g., individual vs. aggregate data, and finally, different datasets may be derived from physically distinct populations. Moreover, once data has been fused, queries are often an inefficient and inaccurate mechanism to derive insight from high-dimensional data. In this paper we describe iFuse, a data-fusion based visual analytics platform for navigating a data lake to derive insights. We rely on Bayesian graphical models to provide useful rudder with which to fuse and analyze disparate islands of data in a systematic manner. Our platform allows for rich interactive visualizations, querying and keyword-based search within and across datasets or models, as well as intuitive visual interfaces for value-imputation or model-based predictions. We illustrate the use of our platform in multiple scenarios, including two public data challenges as well as a real-life industry use-case involving the probabilistic fusion of datasets that lack a natural join-key.",Bayes methods;Context;Data visualization;Diseases;Lakes;Navigation;Probabilistic logic,,K. Singh; K. Paneri; A. Pandey; G. Gupta; G. Sharma; P. Agarwal; G. Shroff,"TCS Research, Tata Consultancy Service Ltd., Gurgaon India",2016 19th International Conference on Information Fusion (FUSION),20160804,,,987,994,,Electronic:978-0-9964-5274-8; POD:978-1-5090-2012-6,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7527993,Bayes methods;Big Data;data aggregation;data analysis;data visualisation;sensor fusion,Bayesian graphical models;aggregate data;big data analytics;data fusion based visual analytics platform;data lake navigation;iFuse;interactive data visualizations;intuitive visual interfaces;keyword-based search;model-based predictions;natural join key;probabilistic data fusion;querying;value-imputation;visual Bayesian fusion,,,,,,,,5-8 July 2016,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Towards an Open Data Development Model for Linking Heterogeneous Data Sources,2015,"Open data is providing opportunities as well as challenges for research and development in the field of knowledge and systems engineering. The prospects for both researchers and application developers accessing and integrating publicly available data from various sources are unprecedented. However, many open data platforms are built in such a way that it is difficult or, sometimes, impossible to extract value from the data, integrate data from various sources, transform or improve the quality of the data through continuous use and reuse, track provenance, and share research findings. In this paper we present open data development model (ODDM) that addresses some these difficulties. The model shows how various stakeholders can check-out data from an open data repository, use and reuse the data, add new functionalities, appraise, transform, and publish or check-in the improved data for other researchers to benefit. We discuss how we intend to apply the model in practice to build a new generation of open data repository for interdisciplinary research, and highlight key issues for debate and discussion.",Computational modeling;Data mining;Data models;Government;Joining processes;Sensors,Big data;Cloud computing;Data repositories;Open data;Open data model,S. K. Sowe; K. Zettsu,"NICT, Inf. Services Platform Lab., Kyoto, Japan",2015 Seventh International Conference on Knowledge and Systems Engineering (KSE),20160107,,,344,347,,Electronic:978-1-4673-8013-3; POD:978-1-4673-8014-0,10.1109/KSE.2015.56,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7371810,Big Data;distributed databases;open systems;research and development,ODDM;heterogeneous data sources;interdisciplinary research;knowledge engineering;open data development model;open data platforms;open data repository;research and development;systems engineering,,,,18,,,,8-10 Oct. 2015,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Apply Deep Learning Neural Network to Forecast Number of Tourists,2017,"Forecasting visitor arrivals is of great importance since it is an indicator of the tourism demand and can serve as the reference for the government policies about tourism and the business strategies of tourism industries. So an accurate forecasting model must be developed. There are two machine learning algorithms, including support vector machine and neural network, which are include in the comparison with deep learning applied neural network with feature selection. In this study, we choose to use exponential linear units (ELUs) as the activation function and stochastic gradient descent (SGD) as the optimizer. Despite of the fact that three of the models have a mean absolute percentage error (MAPE) less than 10%, deep learning applied neural network with feature selection attain the best testing accuracy of 2.05%. Also, with the usage of appropriate activation and optimizer, the training epoches needed is reduced dramatically.",Biological neural networks;Forecasting;Machine learning;Neurons;Predictive models;Support vector machines,and tourist;deep learning;forecasting,Y. W. Chang; C. Y. Tsai,"Dept. of Eng. Sci. & Ocean Eng., Nat. Taiwan Univ., Taipei, Taiwan",2017 31st International Conference on Advanced Information Networking and Applications Workshops (WAINA),20170518,,,259,264,,Electronic:978-1-5090-6231-7; POD:978-1-5090-6232-4,10.1109/WAINA.2017.125,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7929687,feature selection;learning (artificial intelligence);neural nets;support vector machines;travel industry,ELU;MAPE;SGD;activation function;business strategies;deep learning neural network;exponential linear units;feature selection;forecasting model;government policies;machine learning algorithms;mean absolute percentage error;stochastic gradient descent;support vector machine;tourism demand;tourism industries;tourists;visitor arrivals forecasting,,,,,,,,27-29 March 2017,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Design Teams as Change Agents: Diplomatic Design in the Open Data Movement,2013,"Designers and developers who want to participate in the open data movement should be more than technical experts, they should also be change agents. Realizing open data's promise of innovation and entrepreneurialism requires the support of diverse stakeholders. Government agencies must release accessible and useful data, developers must use the data to build tools, and citizens must adopt the technology. The interests of one group may come at the expense of another. For this reason, we examine the usefulness of a diplomatic design approach, which focuses on the art and practice of conducting negotiations using specialized techniques. We conducted an exploratory case study on a national nonprofit fellowship program as it worked to design not only technology but also organizational and social change in the context of a digital government engagement.",Cities and towns;Data models;Educational institutions;Fellows;Government;Interviews;Training,change agency;human-computer interaction;open data;open government;participatory design,M. Maruyama; S. Douglas; S. Robertson,,2013 46th Hawaii International Conference on System Sciences,20130318,,,1860,1869,1530-1605;15301605,Electronic:978-1-5090-5646-0; POD:978-1-4673-5933-7; USB:978-0-7695-4892-0,10.1109/HICSS.2013.170,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6480066,,,,0,,30,,,,7-10 Jan. 2013,,IEEE,IEEE Conference Publications,,,,,,,,,,,
End-to-end data management services for access and discovery of NOAA's research data,2016,"In response to the White House Office of Science and Technology Policy (OSTP) and the National Oceanic and Atmospheric Administration (NOAA) Plan for Increasing Public Access to Research Results (PARR), the National Centers for Environmental Information (NCEI) have created tools for data managers to submit environmental research data generated through the use of federal funds to the national archives. These straightforward tools promote use and metadata creation to ensure that data submitted can be discovered, accessed, and understood by the public. Collaborations between NCEI and other programs in NOAA, such as the National Ocean Service's National Centers for Coastal Ocean Science (NCCOS), have been forged to establish best practices for implementation of the PARR Plan.",Geospatial analysis;Metadata;Oceans;Planning;Sea measurements;Standards;US Government agencies,data management;discovery;geospatial;metadata;public access,K. Woodard; J. Mize,"General Dynamics Information Technology, NOAA National Centers for Environmental Information, Stennis Space Center, MS, USA",OCEANS 2016 MTS/IEEE Monterey,20161201,,,1,4,,Electronic:978-1-5090-1537-5; POD:978-1-5090-1527-6,10.1109/OCEANS.2016.7761423,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7761423,data handling;environmental science computing;information retrieval;meta data,NCCOS;NCEI;NOAA research data access;NOAA research data discovery;National Centers for Environmental Information;National Ocean Service National Centers for Coastal Ocean Science;National Oceanic and Atmospheric Administration;PARR;Public Access to Research Results;White House Office of Science and Technology Policy;end-to-end data management services;environmental research data;metadata creation,,,,,,,,19-23 Sept. 2016,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Requirement engineering for open government information network development to support digital startup in Cimahi city Indonesia,2016,"Open government data has become global movement that has two main objectives, namely social and economic objectives. Social benefit culminated in democracy, transparency and freedom of information, while economic benefit of releasing government data is fostering innovation and entrepreneurship. Research on open government in Indonesia has emerged, but still focused on the social potential of open government data. This research, therefore, aims to proposed development of open government data initiative in local government level that focused on economic benefit of open government data using information network approaches. This paper presents research-in-progress to develop open government information network, including requirement engineering process. Preliminary finding indicate that there are operational deficiencies in the process of accessing government data by digital startup to create value from the data. Therefore, it is necessary to build a system to address this problem.",Economics;Government;Interviews;Requirements engineering;Technological innovation;Urban areas,information network;open government data;requirement engineering;startup,A. H. Thohari; Suhardi,"School of Electrical Engineering and Informatics, Institut Teknologi Bandung, Bandung, Indonesia",2016 International Conference on Information Technology Systems and Innovation (ICITSI),20170220,,,1,6,,Electronic:978-1-5090-2449-0; POD:978-1-5090-2450-6,10.1109/ICITSI.2016.7858208,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7858208,commerce;formal specification;government data processing;information networks;innovation management;local government;socio-economic effects,Cimahi city;Indonesia;digital startup;economic benefit;economic objectives;entrepreneurship;government data accessing;innovation;local government level;open government data;open government information network development;requirement engineering;social benefit;social objectives,,,,,,,,24-27 Oct. 2016,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Discovery and Reuse of Service Hyperlinks for Efficient Data Mashup,2014,"With the growth and the diversification of web data, as an approach to realize data mashup service combination cannot satisfy the flexibility and simplicity of data integration. In this paper we proposes service hyperlink to save the relationship between two data services and utilize reusing the service hyperlinks to combine the data services flexibly and easily. First, we develop an algorithm to quickly and efficiently generate the service hyperlink. Then we publish the links and reuse them to make mashup more flexible and easy-to-use. We illustrate the service hyperlink by the scenarios of criminal investigation for police officers.",Algorithm design and analysis;Data models;Data visualization;Mashups;Probabilistic logic;Semantics;Vehicles,data service;mashup;service combination;service hyperlinks,M. Zhu; C. Liu,"Sch. of Comput. Sci. & Technol., Tianjin Univ., Tianjin, China",2014 IEEE World Congress on Services,20140922,,,147,154,2378-3818;23783818,Electronic:978-1-4799-5069-0; POD:978-1-4799-5070-6,10.1109/SERVICES.2014.35,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6903258,Internet;data integration;software reusability,Web data;data integration;data mashup service combination;police officers;service hyperlinks,,0,,15,,,,June 27 2014-July 2 2014,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Muzk Mesh: Interlinking Semantic Music Data,2010,The vision of the Semantic Web is to lift current Web into semantic repositories where heterogeneous data can be queried and different services can be mashed up. The Web becomes a platform for integrating data and services. The paper discusses the MuzkMesh music portal which mashups existing semantic music data from the Linked Open Data (LOD) bubbles and other common APIs. It aims to demo the power of semantic integration and useful use scenarios on music retrieval and entertainment.,Feeds;Google;Mashups;Resource description framework;Semantics;YouTube,Linked Open Data;Semantic mashup;data integration;music data,M. Singhi; Y. Ding; Y. Sun,"Sch. of Libr. & Inf. Sci., Indiana Univ., Bloomington, IN, USA",2010 IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology,20101101,1,,699,702,,Electronic:978-0-7695-4191-4; POD:978-1-4244-8482-9,10.1109/WI-IAT.2010.162,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5615328,distributed databases;information retrieval;multimedia databases;music;semantic Web,MuzkMesh music portal;Semantic Web;heterogeneous data;linked open data bubble;music retrieval;semantic integration;semantic music data interlinking;semantic repository,,0,,3,,,,Aug. 31 2010-Sept. 3 2010,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Social Media Technology and Government Transparency,2010,"Researching and evaluating social media initiatives is essential to encourage usage, continually improve the tools and policies governing their use, and develop governance processes that incorporate social media participation in its many forms.",Blogs;Communities;Electronic government;Internet;Media;YouTube,Computers and society;Social media technologies;Technology-mediated social participation,J. C. Bertot; P. T. Jaeger; S. Munson; T. Glaisyer,"Univ. of Maryland, College Park, MD, USA",Computer,20101111,43,11,53,59,0018-9162;00189162,,10.1109/MC.2010.325,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5632037,government data processing;multimedia computing;social networking (online),governance process development;government transparency;social media initiatives;social media participation;social media technology,,67,,10,,,,Nov. 2010,,IEEE,IEEE Journals & Magazines,,,,,,,,,,,
Big Data Initiatives by Governments -- Issues and Challenges: A Review,2016,"In this modern era, we are living in the age of big data. All over the world recently, the organizations including the government is taking initiative to adapt and implement big data. Nowadays, government do not want to only collect data, but they want to understand the meaning and the significance of the data, as well as to analyze the data and aid them in making strategic decisions. This paper is aimed to review on the definition of big data and e-government specifically, also reviews the initiatives of big data on government in several countries, including highlights on issues and challenges peculiar to the big data initiatives.",Big data;Business intelligence;Databases;Decision making;Government,big data;big data analytics;big data initiatives;e-government,N. Z. Zainal; H. Hussin; M. N. M. Nazri,"Fac. of Bus. & Manage., Univ. Teknol., Shah Alam, Malaysia",2016 6th International Conference on Information and Communication Technology for The Muslim World (ICT4M),20170116,,,304,309,,Electronic:978-1-5090-4521-1; POD:978-1-5090-4522-8,10.1109/ICT4M.2016.068,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7814921,Big Data;data analysis;government data processing,Big Data;data analysis;e-government;strategic decision making,,,,,,,,22-24 Nov. 2016,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Information sharing for situational understanding and command coordination in emergency management and disaster response,2011,"This paper explores why information sharing is important to successfully dealing with large-scale events and how a lack of public safety communications systems interoperability is a major impediment. It describes how ‚Äúholistic interoperability,‚Ä?which addresses matters of trust and understanding that lead to predictable collaboration, is needed and how the lessons from the lack of information sharing during Pearl Harbor remains instructive today. It goes on to describe how a conceptual technical framework of information layers (i.e., the data, integration and presentation layers) is useful to developing solutions to this lack of interoperability. It also postulates how emerging technologies will move us from today's flawed ‚Äúpublish-and-subscribe‚Ä?environment, which suffers from many of the ‚ÄúPearl Harbor failures,‚Ä?to an automated preplanned ‚Äúsense-and - respond‚Ä?model. Work reported herein was derived from an Urban Area Security Grant as part of interoperable communications programs for the National Capital Region (NCR).",Collaboration;Communication systems;Computer architecture;Fires;Organizations;Planning,SAFECOM;best practices;disaster emergency communicaitons;information sharing;integration;interoperability;public safety;success planning factors;video,R. I. Desourdis; J. M. Contestabile,"Interoperability Solutions Practice, Science Applications International Corporation, Fairfax, Virginia, USA",2011 IEEE International Conference on Technologies for Homeland Security (HST),20111219,,,26,32,,Electronic:978-1-4577-1376-7; POD:978-1-4577-1375-0,10.1109/THS.2011.6107843,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6107843,disasters;emergency services;groupware;middleware;open systems,Pearl Harbor;command coordination;disaster response;emergency management;holistic interoperability;information layer;information sharing;predictable collaboration;public safety communications system;publish-and-subscribe environment;sense-and-respond model;situational understanding;urban area security grant,,1,,5,,,,15-17 Nov. 2011,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Ontology based semantic web on Hadoop platform,2016,"In recent times size of the data is increasing rapidly. Existing centralized system is not able to handle large dataset beyond a certain limit. So, we need ontology based approach in Semantic Web and distributed system. Ontology describes a formal specification of certain domain. Existing platform and servers are unable to process different types of data like structured, semi-structured and quasi-structured data to have an effective large number of ontologies in the web. We need the Hadoop platform to implement the incremental and distributed ontologies over and above existing ontologies in Semantic Web. RDF is the basic representation of ontologies and it is used to describe the knowledge in the Semantic Web. The challenges is using RDF include structure of RDF and the memory that is needed for the incremental comparison. MapReduce is one of the main Hadoop components are needed during the mapping of ontologies in the Semantic Web using RDF. In this paper better way of using incremental RDF in Semantic Web is discussed.",Cognition;Mobile communication;OWL;Ontologies;Resource description framework;XML,Big Data;Hadoop;Ontology reasoning;RDF;Semantic Web,D. R. Ghosh; E. Poovammal,"SRM University, CSE, Kolkata, India","2016 International Conference on Electrical, Electronics, and Optimization Techniques (ICEEOT)",20161124,,,1339,1343,,CD:978-1-4673-9936-4; DVD:978-1-4673-9937-1; Electronic:978-1-4673-9939-5; POD:978-1-4673-9940-1; USB:978-1-4673-9938-8,10.1109/ICEEOT.2016.7754901,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7754901,data handling;ontologies (artificial intelligence);parallel processing;semantic Web,Hadoop platform;MapReduce;RDF;data size;distributed ontologies;distributed system;formal specification;incremental ontologies;ontologies mapping;ontology based semantic Web,,,,,,,,3-5 March 2016,,IEEE,IEEE Conference Publications,,,,,,,,,,,
On Analyzing and Developing Data Contracts in Cloud-Based Data Marketplaces,2011,"Currently, rich and diverse data types have been increasingly provided using the Data-as-a-Service (DaaS) model, a form of cloud computing services. However, data offered by DaaS are constrained by several data concerns that, if not automatically being reasoned properly, will lead to a wrong way of using them. In this paper, we support the assumption that data concerns should be explicitly modeled and specified in data contracts to support concern-aware data selection and utilization. Instead of relying on a specific definition of data contracts, we analyze contemporary data contracts and we present an abstract model for data contracts. Based on the abstract model, we propose several techniques for evaluating data contracts that can be integrated into data service selection and composition frameworks. We also illustrate our approach with some real world scenarios.",Communities;Computational modeling;Data models;Licenses;Pricing;Syntactics,,H. L. Truong; G. R. Gangadharan; M. Comerio; S. Dustdar; F. De Paoli,"Distrib. Syst. Group, Vienna Univ. of Technol., Vienna, Austria",2011 IEEE Asia-Pacific Services Computing Conference,20120112,,,174,181,,Electronic:978-0-7695-4624-7; POD:978-1-4673-0206-7,10.1109/APSCC.2011.65,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6127959,cloud computing;data handling,DaaS;cloud based data marketplaces;cloud computing services;data contracts;data service selection;data-as-a-service,,6,,30,,,,12-15 Dec. 2011,,IEEE,IEEE Conference Publications,,,,,,,,,,,
The benefits of energy efficiency programs - comparing Germany with South Africa,2015,"Over the past two decades the world has become much more conscious of the disadvantages of rampant energy use. To this end many countries have adopted strategies and policies meant to reduce their energy usage and consequently reduce their global energy footprint. The German government is often praised for its stance on reducing energy usage. Therefore, this paper will explore the energy efficiency strategy implemented by the German government. The paper will also explore the current energy efficiency strategies implemented by the South African government and industry as well as the results thereof. This should allow for a comparison of whether the current South African policies compare favourably to that of a first world country that is serious about energy efficiency. From this comparison it is obvious that the South African energy efficiency policy strategy compares favourably.",Economic indicators;Energy efficiency;Energy measurement;Government,German policy;South African Policy;energy efficiency;energy productivity,G. E. Mathews; J. C. Vosloo,"North-West University, CRCED-Pretoria, South Africa",2015 International Conference on the Industrial and Commercial Use of Energy (ICUE),20151001,,,166,170,2166-0581;21660581,Electronic:978-0-6206-5913-0; POD:978-1-4673-9370-6,10.1109/ICUE.2015.7280264,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7280264,energy conservation;government policies,Germany;South Africa;energy efficiency program;global energy footprint,,,,17,,,,18-19 Aug. 2015,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Real-World Data Set Parameters and Synthesization for Matching Identity in Clinical Protocols,2014,"A main challenge for clinical protocol evaluations is the lack of public real-world data sets due to the private nature of patient information. We studied the case of phase 1 clinical trials where the identity of participants is key in determining their eligibility to participate in a trial. Our objective is to use the experience from our study to present a list of parameters to help generate data sets that closely match their real-world counterparts. We also examine existing tools and address their limitations with a tool of our own. Through the development of our clinical trial protocol, we discovered a field selection that proved to be efficient to detect a participant's identity, which may be used by other researchers in their protocols.",Clinical trials;Couplings;Databases;Generators;Protocols;Sociology;Statistics,clinical trials;data set generation;identity matching;privacy;protocol evaluation;record linkage;synthetic data,H. Farah; D. Amyot; K. E. Emam,"Sch. of Electr. Eng. & Comput. Sci., Univ. of Ottawa, Ottawa, ON, Canada",2014 IEEE 27th International Symposium on Computer-Based Medical Systems,20140825,,,263,266,1063-7125;10637125,Electronic:978-1-4799-4435-4; POD:978-1-4799-4434-7,10.1109/CBMS.2014.48,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6881888,data handling;electronic health records,clinical protocol evaluations;data set generation;identity matching;participant identity detection;patient information;real-world data set parameters;real-world data set synthesization;record linkage,,1,,8,,,,27-29 May 2014,,IEEE,IEEE Conference Publications,,,,,,,,,,,
Information Policy Meta-Principles: Stewardship and Usefulness,2010,"The ideas that democratic governments should be open, accessible, and transparent to the governed are not new ones, but they are receiving renewed emphasis through the combination of government reform efforts and the emergence of Web 2.0 social media tools that promote information sharing, integration, and public discourse. Although these initiatives are young, they already exhibit daunting complexity, with significant information management, technology, and policy challenges. A variety of traditional and emerging information policy frameworks offer principles for considering and addressing these issues. Diverse research perspectives highlight both challenges to and opportunities for promoting transparency. The early implementation of public participation in the US Open Government Initiative suggests that two meta-policies, stewardship and usefulness, can help structure and balance the choices for action.",Constitution;Educational institutions;Information management;Instruments;Investments;Protection;Public policy;Regulators;Resource management;US Government,,S. S. Dawes,"Center for Technol. in Gov., Univ. at Albany, Albany, NY, USA",2010 43rd Hawaii International Conference on System Sciences,20100311,,,1,10,1530-1605;15301605,Electronic:978-1-4244-5510-2; POD:978-1-4244-5509-6,10.1109/HICSS.2010.233,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5428298,Internet;government policies;public administration;software tools,US Open Government Initiative;Web 2.0 social media tools;democratic governments;information management;information policy meta-principles;information sharing,,0,,24,,,,5-8 Jan. 2010,,IEEE,IEEE Conference Publications,,,,,,,,,,,
"Managing Big, Linked, and Open Earth-Observation Data: Using the TELEIOS/LEO software stack",2016,"Big Earth-observation (EO) data that are made freely available by space agencies come from various archives. Therefore, users trying to develop an application need to search within these archives, discover the needed data, and integrate them into their application. In this article, we argue that if EO data are published using the linked data paradigm, then the data discovery, data integration, and development of applications becomes easier. We present the life cycle of big, linked, and open EO data and show how to support their various stages using the software stack developed by the European Union (EU) research projects TELEIOS and the Linked Open EO Data for Precision Farming (LEO). We also show how this stack of tools can be used to implement an operational wildfire-monitoring service.",Earth Observing System;Fires;Monitoring;NASA;Remote sensing;Satellites,,M. Koubarakis; K. Kyzirakos; C. Nikolaou; G. Garbis; K. Bereta; R. Dogani; S. Giannakopoulou; P. Smeros; D. Savva; G. Stamoulis; G. Vlachopoulos; S. Manegold; C. Kontoes; T. Herekakis; I. Papoutsis; D. Michail,"Informatics and Telecommunications, National and Kapodistrian University of Athens, Athens, Greece",IEEE Geoscience and Remote Sensing Magazine,20160916,4,3,23,37,2473-2397;24732397,,10.1109/MGRS.2016.2530410,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7570406,,,,,,,,,,Sept. 2016,,IEEE,IEEE Journals & Magazines,,,,,,,,,,,
Governing Big Data: Principles and practices,2013,"As data-intensive decision making is being increasingly adopted by businesses, governments, and other agencies around the world, most organizations encountering a very large amount and variety of data are still contemplating and assessing their readiness to embrace ‚ÄúBig Data.‚Ä?While these organizations devise various ways to deal with the challenges such data brings, the impact and importance of Big Data to information quality and governance programs should not be underestimated. Drawing upon implementation experiences of early adopters of Big Data technologies across multiple industries, this paper explores the issues and challenges involved in the management of Big Data, highlighting the principles and best practices for effective Big Data governance.",Data handling;Data storage systems;Database systems;Decision making;Information management;Information processing;Media,,P. Malik,"IBM Global Business Services, San Jose, CA , USA",IBM Journal of Research and Development,20130517,57,3‘¬4»’,1:01,1:13,0018-8646;00188646,,10.1147/JRD.2013.2241359,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6517298,,,,7,,,,,,May-July 2013,,IBM,IBM Journals & Magazines,,,,,,,,,,,
Analyzing the Applicability of the Linking Open Data Cloud for Context-Aware Services,2014,"The amount of data within the Linking Open Data (LOD) cloud is steadily increasing and resembles a rich source of information. Since Context-aware Services (CAS) can highly benefit from background information, e.g., about the environment of a user, it makes sense to leverage that enormous amount of data already present in the LOD cloud to enhance the quality of these services. Within this work, the applicability of the LOD cloud as provider for contextual information to enrich CAS is investigated. For this purpose, non-functional criteria of discoverability and availability are analyzed, followed by a presentation of an overview of the different domains covered by the LOD cloud. In order to ease the process of finding a dataset that matches the information needs of a developer of a CAS, techniques for retrieving contents of LOD datasets are discussed and different approaches to condense the dataset to its most important concepts are shown.",Availability;Clouds;Context;IP networks;Motion pictures;Resource description framework;Servers,Context-aware Services;Linked Open Data;Semantic Web,M. v. Hoffen; A. Uzun; A. K√ºpper,"Telekom Innovation Labs., Tech. Univ. Berlin, Berlin, Germany",2014 IEEE International Conference on Semantic Computing,20140825,,,159,166,,Electronic:978-1-4799-4003-5; POD:978-1-4799-4004-2,10.1109/ICSC.2014.27,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6882017,cloud computing;data handling;information retrieval;ubiquitous computing,CAS;LOD cloud;LOD datasets;availability criteria;background information;content retrieval;context-aware services;contextual information;discoverability criteria;linking open data cloud;quality of service,,0,,25,,,,16-18 June 2014,,IEEE,IEEE Conference Publications,,,,,,,,,,,
